0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng
AHZ|AHZ|||Alpe D Huez|Alpe D Huez|||Alpe D Huez|Alpe D Huez
AIA|AIA|Альянс|Альянс|Alliance|Alliance|||Alliance|Alliance
AIB|AIB|Анита Бэй|Анита Бэй|Anita Bay|Anita Bay|||Anita Bay|Anita Bay
AIC|AIC|Айрок|Айрок|Airok|Airok|||Airok, Ailinglaplap|Airok, Ailinglaplap
AID|AID|||Municipal|Municipal|||Anderson|Anderson
AIE|AIE|Айоме|Айоме|Aiome|Aiome|Айоме|Айоме|Aiome|Aiome
AIF|AIF|||Assis|Assis|||Assis|Assis
AIG|AIG|Ялинга|Ялинга|Yalinga|Yalinga|Ялинга|Ялинга|Yalinga|Yalinga
AIH|AIH|||Aiambak|Aiambak|||Aiambak|Aiambak
AII|AII|||Alisabieh|Alisabieh|||Alisabieh|Alisabieh
AIK|AIK|||Municipal|Municipal|||Aiken|Aiken
AIL|AIL|Айлиганди|Айлиганди|Ailigandi|Ailigandi|Айлиганди|Айлиганди|Ailigandi|Ailigandi
AIM|AIM|||Ailuk Island|Ailuk Island|||Ailuk Island|Ailuk Island
AIN|AIN|||Wainwright|Wainwright|||Wainwright|Wainwright
AIO|AIO|||Municipal|Municipal|||Atlantic|Atlantic
AIP|AIP|||Ailinglapalap Island|Ailinglapalap Island|||Ailinglapalap Island|Ailinglapalap Island
AIR|AIR|||Aripuana|Aripuana|||Aripuana|Aripuana
AIS|AIS|Ароре-Айленд|Ароре-Айленд|Arorae Island|Arorae Island|Ароре-Айленд|Ароре-Айленд|Arorae Island|Arorae Island
AIT|AIT|Аитутаки|Аитутаки|Aitutaki|Aitutaki|Аитутаки|Аитутаки|Aitutaki|Aitutaki
AIU|AIU|||Atiu Island|Atiu Island|||Atiu Island|Atiu Island
AIV|AIV|||George Downer|George Downer|||Aliceville|Aliceville
AIW|AIW|||Ai-ais|Ai-ais|||Ai-ais|Ai-ais
AIY|AIY|||Bader Field|Bader Field|Атлантик Сити|Атлантик Сити|Atlantic City|Atlantic City
AIZ|AIZ|||Lee C Fine Memorial|Lee C Fine Memorial|||Kaiser/Lake Ozark|Kaiser/Lake Ozark
AJA|AJA|Кампо Дель Оро|Кампо Дель Оро|Campo Dell Oro|Campo Dell Oro|Аяччио|Аяччио|Ajaccio|Ajaccio
AJF|AJF|Джуф|Джуф|Jouf|Jouf|||Sakaka Al Jouf|Sakaka Al Jouf
AJI|AJI|||A&amp;#287;ri|A&amp;#287;ri|Агри|Агри|Agri|Agri
AJJ|AJJ|Акжужт|Акжужт|Akjoujt|Akjoujt|Акжужт|Акжужт|Akjoujt|Akjoujt
AJK|AJK|||Araak|Araak|||Araak|Araak
AJL|AJL|Айзаул|Айзаул|Aizawl|Aizawl|Айзаул|Айзаул|Aizawl|Aizawl
AJN|AJN|||Ouani|Ouani|Анжуан|Анжуан|Anjouan|Anjouan
AJO|AJO|Альюф|Альюф|Aljouf|Aljouf|Альюф|Альюф|Aljouf|Aljouf
AJR|AJR|Арвидсьяур|Арвидсьяур|Arvidsjaur|Arvidsjaur|Арвидсьяур|Арвидсьяур|Arvidsjaur|Arvidsjaur
AJS|AJS|Абреохос|Абреохос|Abreojos|Abreojos|Абреохос|Абреохос|Abreojos|Abreojos
AJU|AJU|Санта Мария|Санта Мария|Santa Maria|Santa Maria|Аракайю|Аракайю|Aracaju|Aracaju
AJY|AJY|||Agades|Agades|||Agades|Agades
AKA|AKA|Анькан|Анькан|Ankang|Ankang|Анькан|Анькан|Ankang|Ankang
AKB|AKB|||Atka|Atka|||Atka|Atka
AKC|AKC|||Fulton International|Fulton International|||Akron/Canton|Akron/Canton
AKD|AKD|Акола|Акола|Akola|Akola|Акола|Акола|Akola|Akola
AKE|AKE|Акиени|Акиени|Akieni|Akieni|Акиени|Акиени|Akieni|Akieni
